ACTIONID	USERID	TARGETID	TIMESTAMP
130	21	13	39649.000
131	13	9	39667.000
132	11	4	39708.000
133	11	13	39708.000
134	10	5	39816.000
135	4	16	39882.000
136	18	4	39957.000
137	18	13	39958.000
138	21	14	40004.000
139	21	9	40026.000
140	21	8	40103.000
141	17	13	40167.000
142	22	2	40214.000
143	22	3	40221.000
144	20	9	40236.000
145	20	13	40237.000
146	20	4	40276.000
147	18	5	40285.000
148	18	15	40285.000
149	17	8	40287.000
150	23	1	40325.000
151	23	3	40339.000
152	17	4	40412.000
153	11	7	40651.000
154	11	15	40652.000
155	24	1	40670.000
156	24	4	40684.000
157	18	5	40686.000
158	18	16	40687.000
159	20	5	40726.000
160	20	15	40726.000
161	20	6	40731.000
162	20	16	40732.000
163	22	8	40733.000
164	22	13	40734.000
165	20	17	40739.000
166	20	18	40740.000
167	22	7	40745.000
168	20	6	40756.000
169	20	19	40757.000
170	23	9	40764.000
171	20	5	40773.000
172	20	18	40773.000
173	23	9	40784.000
174	20	16	40790.000
175	23	9	40791.000
176	10	6	40830.000
177	25	1	41049.000
178	25	2	41059.000
179	25	3	41068.000
180	18	6	41096.000
181	18	16	41097.000
182	25	3	41103.000
183	23	4	41157.000
184	23	13	41158.000
185	17	5	41267.000
186	17	15	41267.000
187	17	4	41309.000
188	17	16	41310.000
189	17	3	41319.000
190	17	15	41319.000
191	17	5	41323.000
192	17	13	41324.000
193	10	17	41378.000
194	18	17	41463.000
195	18	18	41464.000
196	23	9	41536.000
197	23	7	41563.000
198	16	10	41600.000
199	16	1	41604.000
200	24	5	41608.000
201	24	15	41608.000
202	16	2	41611.000
203	16	7	41620.000
204	23	5	41631.000
205	23	15	41632.000
206	17	5	41646.000
207	17	16	41646.000
208	16	9	41646.000
209	24	8	41647.000
210	24	5	41651.000
211	16	9	41665.000
212	25	4	41790.000
213	25	15	41868.000
214	26	1	41882.000
215	26	2	41892.000
216	26	9	41910.000
217	27	1	41934.000
218	26	7	41936.000
219	27	2	41937.000
220	26	9	41943.000
221	27	2	41944.000
222	26	9	41946.000
223	27	1	41947.000
224	26	8	41964.000
225	17	9	41979.000
226	17	16	41979.000
227	17	9	42010.000
228	18	7	42053.000
229	18	19	42053.000
230	18	14	42120.000
231	18	9	42133.000
232	18	8	42189.000
233	28	1	42489.000
234	24	6	42632.000
235	24	16	42633.000
236	24	8	43218.000
237	24	18	43219.000
238	24	17	43223.000
239	29	1	43615.000
240	29	2	43629.000
241	29	1	43662.000
242	29	10	43691.000
243	29	9	43697.000
244	30	1	45092.000
245	30	2	45116.000
246	30	3	45126.000
247	30	7	45132.000
248	30	3	45139.000
249	31	1	45708.000
250	31	7	45731.000
251	30	4	45858.000
252	31	14	45929.000
253	31	9	46021.000
254	30	5	46295.000
255	23	9	47169.000
256	32	1	47359.000
257	23	9	47628.000
258	32	7	48257.000
259	32	9	48272.000
260	32	8	48834.000
261	23	6	48950.000
262	23	16	48951.000
263	23	1	49040.000
264	23	18	49041.000
265	23	2	49044.000
266	23	14	49131.000
267	33	1	49692.000
268	34	1	53894.000
269	34	3	53909.000
270	35	1	54663.000
271	35	2	54705.000
272	35	7	54763.000
273	35	9	54972.000
274	35	3	55061.000
275	35	7	55090.000
276	31	8	55471.000
277	34	1	55632.000
278	34	13	55634.000
279	34	10	55750.000
280	36	1	57325.000
281	36	3	57370.000
282	37	1	58318.000
283	37	10	58364.000
284	37	1	58372.000
285	38	1	60105.000
286	38	2	60119.000
287	39	1	60435.000
288	39	2	60453.000
289	39	3	60463.000
290	38	10	61020.000
291	38	3	61036.000
292	40	1	61340.000
293	40	3	61356.000
294	40	4	61501.000
295	40	13	61501.000
296	40	3	61514.000
297	40	15	61515.000
298	40	3	61610.000
299	40	13	61610.000
300	41	1	61669.000
301	42	1	61683.000
302	42	9	61688.000
303	42	7	61702.000
304	41	10	61782.000
305	42	14	61790.000
306	41	3	61795.000
307	42	14	61818.000
308	41	4	62487.000
309	43	1	62555.000
310	44	1	62596.000
311	44	4	62604.000
312	43	10	62607.000
313	43	4	62626.000
314	44	15	62630.000
315	45	1	62655.000
316	45	7	62670.000
317	45	14	62777.000
318	46	1	62918.000
319	46	3	62948.000
320	41	5	62960.000
321	41	4	62970.000
322	41	6	62975.000
323	41	5	62980.000
324	39	13	63073.000
325	43	3	63076.000
326	43	15	63076.000
327	46	3	63301.000
328	45	14	63327.000
329	47	1	63343.000
330	45	3	63345.000
331	47	3	63362.000
332	45	17	63396.000
333	45	6	63416.000
334	48	1	63440.000
335	48	2	63449.000
336	48	3	63453.000
337	45	6	63474.000
338	47	4	63477.000
339	47	13	63478.000
340	47	3	63502.000
341	47	1	63503.000
342	46	8	63745.000
343	46	3	63760.000
344	43	5	63761.000
345	43	13	63761.000
346	45	8	63888.000
347	45	3	63906.000
348	49	9	63936.000
349	41	6	63959.000
350	49	8	64037.000
351	50	1	64267.000
352	51	1	64307.000
353	51	3	64337.000
354	41	17	64429.000
355	41	6	64435.000
356	46	5	64474.000
357	46	4	64477.000
358	46	5	64478.000
359	46	4	64487.000
360	41	9	64501.000
361	41	17	64510.000
362	45	8	64739.000
363	45	9	64752.000
364	38	9	64776.000
365	38	13	64777.000
366	46	4	64936.000
367	46	15	64936.000
368	52	1	64988.000
369	52	2	65005.000
370	52	3	65010.000
371	52	9	65043.000
372	52	7	65159.000
373	53	1	65328.000
374	52	14	65333.000
375	41	7	65337.000
376	52	14	65352.000
377	53	7	65353.000
378	41	9	65356.000
379	52	14	65363.000
380	53	9	65381.000
381	46	5	65572.000
382	54	1	65865.000
383	55	3	65872.000
384	54	3	65878.000
385	55	7	65885.000
386	55	13	65886.000
387	54	13	65888.000
388	55	4	65896.000
389	53	3	65968.000
390	55	3	65985.000
391	55	15	65986.000
392	55	3	65991.000
393	52	8	66104.000
394	52	4	66112.000
395	56	1	66182.000
396	56	3	66199.000
397	57	1	66284.000
398	57	3	66306.000
399	58	1	66470.000
400	59	1	66492.000
401	60	1	66497.000
402	58	1	66500.000
403	59	2	66528.000
404	60	3	66538.000
405	58	10	66602.000
406	53	4	66653.000
407	8	10	66653.000
408	61	1	66680.000
409	62	1	66712.000
410	62	3	66724.000
411	8	10	66729.000
412	63	1	66752.000
413	59	10	66758.000
414	59	3	66765.000
415	63	4	66773.000
416	8	10	66775.000
417	8	3	66786.000
418	64	1	66876.000
419	64	10	66889.000
420	65	3	66892.000
421	58	10	66892.000
422	64	1	66895.000
423	65	8	66903.000
424	65	13	66903.000
425	65	3	66910.000
426	65	4	66931.000
427	65	13	66932.000
428	65	15	66941.000
429	58	10	66952.000
430	62	4	66956.000
431	62	13	66957.000
432	62	3	66961.000
433	62	15	66961.000
434	62	13	66966.000
435	66	1	66978.000
436	58	3	66981.000
437	67	1	66984.000
438	62	8	66988.000
439	62	3	66993.000
440	68	1	67029.000
441	68	2	67037.000
442	68	7	67044.000
443	67	3	67056.000
444	64	10	67075.000
445	64	1	67078.000
446	15	8	67089.000
447	53	5	67090.000
448	15	5	67094.000
449	69	1	67114.000
450	52	5	67121.000
451	68	14	67133.000
452	69	10	67143.000
453	69	1	67149.000
454	68	7	67149.000
455	69	2	67157.000
456	68	14	67160.000
457	69	3	67164.000
458	68	7	67165.000
459	68	9	67169.000
460	69	9	67201.000
461	69	13	67202.000
462	69	9	67224.000
463	70	1	67247.000
464	70	2	67256.000
465	70	3	67263.000
466	69	8	67307.000
467	54	8	67318.000
468	54	3	67322.000
469	67	13	67365.000
470	59	13	67452.000
471	71	1	67473.000
472	71	10	67503.000
473	71	3	67521.000
474	72	1	67596.000
475	72	3	67622.000
476	59	4	67640.000
477	58	4	67679.000
478	73	1	67733.000
479	73	2	67745.000
480	73	9	67753.000
481	73	3	67779.000
482	74	1	67868.000
483	70	3	67891.000
484	70	13	67891.000
485	75	1	67934.000
486	75	2	67979.000
487	70	4	67980.000
488	70	13	67981.000
489	75	3	67987.000
490	76	1	67999.000
491	76	2	68007.000
492	74	2	68021.000
493	74	3	68030.000
494	59	5	68046.000
495	59	15	68047.000
496	63	9	68051.000
497	63	15	68052.000
498	77	1	68055.000
499	63	9	68063.000
500	62	4	68067.000
501	62	13	68068.000
502	15	6	68075.000
503	15	16	68075.000
504	77	10	68079.000
505	77	1	68082.000
506	78	1	68082.000
507	54	4	68089.000
508	54	13	68089.000
509	63	4	68094.000
510	78	4	68103.000
511	79	1	68104.000
512	78	3	68109.000
513	78	15	68109.000
514	79	2	68114.000
515	52	6	68122.000
516	79	3	68125.000
517	80	1	68145.000
518	81	1	68163.000
519	58	5	68199.000
520	81	10	68232.000
521	80	10	68244.000
522	82	1	68259.000
523	82	2	68266.000
524	80	3	68274.000
525	53	6	68322.000
526	71	4	68410.000
527	71	13	68411.000
528	83	4	68412.000
529	83	3	68417.000
530	83	7	68421.000
531	83	9	68426.000
532	83	7	68427.000
533	83	13	68428.000
534	59	16	68519.000
535	84	1	68575.000
536	83	14	68579.000
537	84	2	68588.000
538	83	7	68594.000
539	84	1	68594.000
540	83	14	68600.000
541	84	3	68601.000
542	83	14	68602.000
543	84	3	68605.000
544	85	1	68608.000
545	83	14	68610.000
546	15	17	68611.000
547	15	18	68611.000
548	83	14	68617.000
549	83	17	68626.000
550	83	7	68630.000
551	83	6	68633.000
552	83	17	68636.000
553	83	18	68637.000
554	83	9	68639.000
555	85	2	68642.000
556	75	4	68679.000
557	78	9	68684.000
558	78	13	68685.000
559	63	5	68697.000
560	63	15	68698.000
561	78	3	68698.000
562	83	9	68704.000
563	86	1	68709.000
564	83	9	68709.000
565	86	3	68719.000
566	83	5	68719.000
567	78	7	68723.000
568	78	13	68723.000
569	70	5	68727.000
570	70	15	68728.000
571	83	9	68732.000
572	83	16	68732.000
573	83	7	68734.000
574	83	9	68743.000
575	83	8	68746.000
576	85	7	68759.000
577	85	9	68761.000
578	85	3	68772.000
579	78	3	68773.000
580	78	9	68777.000
581	78	13	68778.000
582	78	3	68788.000
583	78	13	68794.000
584	85	3	68807.000
585	80	8	68811.000
586	87	1	68833.000
587	54	5	68863.000
588	54	15	68864.000
589	54	5	68868.000
590	80	8	68868.000
591	53	17	68870.000
592	87	1	68875.000
593	80	3	68879.000
594	79	4	68880.000
595	79	13	68881.000
596	87	1	68882.000
597	79	4	68882.000
598	87	1	68884.000
599	87	2	68888.000
600	85	4	68892.000
601	85	13	68893.000
602	87	3	68897.000
603	74	4	68915.000
604	85	5	68933.000
605	88	1	68944.000
606	54	5	68945.000
607	54	16	68946.000
608	85	6	68953.000
609	88	1	68959.000
610	71	5	68967.000
611	71	15	68967.000
612	85	17	68970.000
613	85	18	68971.000
614	78	8	68982.000
615	78	3	68987.000
616	85	7	68988.000
617	88	1	68991.000
618	85	1	68995.000
619	88	1	68996.000
620	88	2	69004.000
621	88	1	69008.000
622	89	1	69008.000
623	78	3	69009.000
624	78	13	69009.000
625	88	3	69011.000
626	87	13	69018.000
627	89	7	69023.000
628	89	9	69032.000
629	88	7	69055.000
630	90	1	69064.000
631	91	1	69073.000
632	59	6	69082.000
633	54	16	69091.000
634	91	3	69097.000
635	92	1	69098.000
636	90	10	69113.000
637	54	5	69115.000
638	92	3	69116.000
639	75	5	69134.000
640	78	13	69147.000
641	88	9	69156.000
642	78	3	69159.000
643	90	10	69170.000
644	78	4	69172.000
645	78	13	69173.000
646	62	5	69185.000
647	62	15	69185.000
648	54	5	69219.000
649	54	16	69220.000
650	75	5	69258.000
651	93	1	69287.000
652	94	1	69299.000
653	95	1	69304.000
654	94	2	69314.000
655	84	4	69316.000
656	84	13	69316.000
657	84	4	69320.000
658	93	1	69322.000
659	94	2	69326.000
660	94	17	69334.000
661	94	6	69354.000
662	94	19	69355.000
663	94	7	69358.000
664	94	18	69359.000
665	74	5	69360.000
666	93	10	69373.000
667	80	8	69393.000
668	93	3	69394.000
669	82	10	69399.000
670	80	3	69400.000
671	79	5	69413.000
672	79	15	69413.000
673	79	5	69414.000
674	90	10	69433.000
675	36	8	69434.000
676	86	13	69451.000
677	86	8	69464.000
678	86	3	69469.000
679	86	13	69479.000
680	96	1	69487.000
681	97	3	69492.000
682	90	10	69506.000
683	97	4	69508.000
684	97	13	69508.000
685	98	1	69508.000
686	54	6	69519.000
687	54	16	69519.000
688	91	3	69521.000
689	96	10	69533.000
690	59	17	69534.000
691	59	18	69534.000
692	90	10	69535.000
693	96	1	69541.000
694	36	3	69541.000
695	90	2	69542.000
696	97	3	69544.000
697	97	15	69544.000
698	90	1	69553.000
699	96	2	69554.000
700	90	1	69555.000
701	96	3	69562.000
702	91	5	69563.000
703	99	1	69571.000
704	100	1	69571.000
705	91	5	69578.000
706	101	1	69584.000
707	36	8	69586.000
708	91	6	69588.000
709	102	1	69588.000
710	100	3	69589.000
711	15	7	69590.000
712	15	19	69591.000
713	36	3	69591.000
714	91	17	69595.000
715	102	2	69595.000
716	99	1	69596.000
717	102	1	69598.000
718	103	1	69601.000
719	99	3	69602.000
720	91	7	69602.000
721	104	1	69608.000
722	104	3	69621.000
723	78	15	69623.000
724	101	2	69624.000
725	104	7	69634.000
726	101	3	69635.000
727	103	2	69640.000
728	58	7	69648.000
729	103	3	69648.000
730	103	4	69654.000
731	103	13	69655.000
732	99	13	69658.000
733	103	7	69660.000
734	103	15	69661.000
735	103	9	69669.000
736	103	3	69683.000
737	36	13	69686.000
738	103	13	69718.000
739	88	4	69731.000
740	88	13	69732.000
741	15	14	69736.000
742	80	4	69746.000
743	90	10	69747.000
744	80	13	69747.000
745	102	10	69750.000
746	15	14	69751.000
747	53	7	69754.000
748	102	1	69756.000
749	105	1	69763.000
750	84	5	69763.000
751	84	15	69763.000
752	15	14	69766.000
753	84	5	69766.000
754	90	10	69771.000
755	15	14	69771.000
756	90	1	69778.000
757	15	9	69779.000
758	105	10	69784.000
759	104	8	69786.000
760	78	8	69796.000
761	78	7	69799.000
762	104	9	69803.000
763	63	6	69810.000
764	63	16	69811.000
765	104	3	69816.000
766	104	13	69832.000
767	78	4	69835.000
768	106	1	69839.000
769	79	16	69839.000
770	78	15	69840.000
771	78	8	69843.000
772	15	9	69867.000
773	90	10	69873.000
774	15	9	69873.000
775	15	8	69878.000
776	89	3	69941.000
777	91	4	69965.000
778	53	14	69973.000
779	107	1	69990.000
780	53	9	69992.000
781	106	10	69999.000
782	90	10	70005.000
783	53	9	70008.000
784	90	1	70010.000
785	106	9	70010.000
786	53	9	70010.000
787	59	19	70013.000
788	90	1	70016.000
789	106	7	70021.000
790	70	7	70032.000
791	70	16	70032.000
792	108	4	70039.000
793	108	3	70047.000
794	108	15	70047.000
795	70	9	70050.000
796	107	10	70052.000
797	108	9	70059.000
798	108	13	70060.000
799	90	1	70062.000
800	54	17	70062.000
801	54	18	70062.000
802	107	2	70063.000
803	109	1	70067.000
804	107	1	70068.000
805	92	4	70093.000
806	92	13	70094.000
807	98	10	70118.000
808	91	4	70128.000
809	90	1	70133.000
810	98	9	70143.000
811	90	3	70145.000
812	110	1	70155.000
813	15	8	70170.000
814	110	1	70177.000
815	95	10	70192.000
816	95	1	70198.000
817	98	7	70202.000
818	107	3	70203.000
819	95	3	70204.000
820	110	2	70212.000
821	95	17	70219.000
822	95	13	70219.000
823	111	1	70226.000
824	95	9	70227.000
825	95	19	70227.000
826	98	7	70235.000
827	111	2	70239.000
828	112	1	70243.000
829	111	7	70248.000
830	88	5	70250.000
831	88	15	70250.000
832	74	5	70251.000
833	110	2	70252.000
834	113	1	70255.000
835	74	5	70256.000
836	113	1	70261.000
837	113	3	70269.000
838	95	9	70271.000
839	95	9	70277.000
840	113	2	70282.000
841	95	7	70293.000
842	71	6	70298.000
843	71	16	70300.000
844	113	13	70301.000
845	112	10	70303.000
846	95	17	70303.000
847	113	1	70306.000
848	95	3	70308.000
849	95	19	70308.000
850	95	13	70316.000
851	113	10	70335.000
852	111	14	70354.000
853	80	8	70355.000
854	111	14	70364.000
855	80	4	70364.000
856	63	17	70372.000
857	63	18	70376.000
858	111	3	70381.000
859	113	10	70385.000
860	113	3	70393.000
861	59	9	70394.000
862	59	7	70428.000
863	75	6	70435.000
864	114	1	70452.000
865	114	10	70484.000
866	114	3	70509.000
867	114	6	70514.000
868	114	13	70514.000
869	114	7	70520.000
870	114	18	70521.000
871	115	1	70522.000
872	80	5	70524.000
873	92	5	70532.000
874	115	2	70532.000
875	92	15	70533.000
876	114	9	70533.000
877	114	7	70537.000
878	115	3	70540.000
879	115	9	70543.000
880	115	3	70576.000
881	57	9	70606.000
882	57	13	70607.000
883	52	17	70620.000
884	116	1	70620.000
885	116	2	70628.000
886	89	4	70629.000
887	89	13	70630.000
888	116	3	70637.000
889	110	10	70647.000
890	105	10	70656.000
891	110	9	70658.000
892	59	14	70662.000
893	105	1	70667.000
894	110	9	70680.000
895	110	7	70683.000
896	110	3	70696.000
897	111	7	70711.000
898	111	13	70712.000
899	99	8	70718.000
900	99	4	70726.000
901	111	14	70733.000
902	117	1	70738.000
903	118	1	70750.000
904	114	14	70757.000
905	110	9	70769.000
906	110	13	70770.000
907	16	8	70771.000
908	118	3	70775.000
909	110	9	70775.000
910	119	1	70778.000
911	111	14	70781.000
912	74	6	70782.000
913	57	9	70784.000
914	16	2	70785.000
915	111	14	70786.000
916	74	6	70786.000
917	57	9	70788.000
918	57	7	70793.000
919	119	3	70799.000
920	111	8	70807.000
921	111	1	70811.000
922	111	2	70815.000
923	111	3	70821.000
924	111	13	70824.000
925	105	2	70833.000
926	119	7	70838.000
927	105	3	70841.000
928	90	4	70845.000
929	90	13	70845.000
930	114	14	70848.000
931	71	17	70860.000
932	71	18	70861.000
933	114	7	70874.000
934	114	17	70884.000
935	114	19	70891.000
936	84	6	70911.000
937	84	16	70912.000
938	84	6	70915.000
939	107	4	70919.000
940	107	13	70921.000
941	107	1	70927.000
942	107	15	70927.000
943	107	2	70935.000
944	119	14	70936.000
945	114	8	70941.000
946	107	4	70943.000
947	119	14	70950.000
948	16	10	70950.000
949	114	9	70951.000
950	119	14	70953.000
951	16	2	70955.000
952	119	9	70958.000
953	16	3	70960.000
954	80	16	70968.000
955	80	15	70968.000
956	120	1	70980.000
957	75	17	70989.000
958	99	15	70991.000
959	113	4	71022.000
960	113	13	71023.000
961	120	1	71041.000
962	120	2	71045.000
963	120	3	71051.000
964	119	8	71054.000
965	57	8	71061.000
966	121	1	71063.000
967	119	3	71065.000
968	122	1	71069.000
969	96	4	71076.000
970	89	5	71076.000
971	122	1	71077.000
972	89	15	71078.000
973	122	1	71084.000
974	122	3	71089.000
975	122	13	71106.000
976	122	1	71110.000
977	123	1	71113.000
978	122	2	71117.000
979	124	3	71117.000
980	122	2	71123.000
981	122	3	71128.000
982	122	7	71131.000
983	122	13	71132.000
984	122	3	71144.000
985	119	3	71145.000
986	120	13	71146.000
987	80	8	71146.000
988	80	5	71154.000
989	119	4	71156.000
990	125	1	71163.000
991	121	2	71173.000
992	119	6	71181.000
993	80	5	71196.000
994	54	7	71201.000
995	99	5	71202.000
996	54	19	71202.000
997	118	9	71216.000
998	126	1	71231.000
999	118	7	71233.000
1000	119	3	71235.000
1001	88	6	71237.000
1002	88	16	71237.000
1003	127	1	71238.000
1004	126	1	71239.000
1005	118	3	71247.000
1006	127	9	71248.000
1007	115	13	71257.000
1008	126	2	71258.000
1009	127	1	71265.000
1010	127	2	71272.000
1011	127	3	71281.000
1012	127	7	71287.000
1013	54	14	71288.000
1014	128	1	71299.000
1015	107	5	71304.000
1016	107	15	71305.000
1017	54	14	71307.000
1018	54	7	71316.000
1019	63	7	71318.000
1020	63	19	71319.000
1021	125	3	71319.000
1022	54	9	71321.000
1023	54	7	71333.000
1024	128	1	71337.000
1025	54	14	71343.000
1026	54	7	71352.000
1027	128	10	71366.000
1028	128	3	71379.000
1029	116	3	71380.000
1030	116	13	71381.000
1031	116	3	71383.000
1032	116	4	71391.000
1033	116	13	71392.000
1034	116	4	71395.000
1035	121	10	71401.000
1036	90	5	71418.000
1037	90	15	71418.000
1038	63	14	71444.000
1039	113	5	71449.000
1040	113	15	71449.000
1041	121	10	71450.000
1042	63	14	71454.000
1043	63	7	71470.000
1044	63	14	71470.000
1045	63	7	71485.000
1046	121	1	71488.000
1047	121	2	71498.000
1048	129	1	71504.000
1049	63	7	71507.000
1050	121	3	71520.000
1051	84	17	71532.000
1052	84	18	71533.000
1053	84	17	71536.000
1054	130	1	71537.000
1055	130	3	71551.000
1056	84	6	71554.000
1057	131	1	71567.000
1058	131	3	71590.000
1059	131	1	71602.000
1060	96	5	71606.000
1061	131	1	71607.000
1062	131	2	71614.000
1063	92	6	71615.000
1064	92	16	71615.000
1065	132	1	71624.000
1066	131	2	71632.000
1067	131	3	71642.000
1068	132	2	71646.000
1069	74	17	71655.000
1070	132	3	71658.000
1071	16	4	71681.000
1072	16	13	71682.000
1073	133	1	71684.000
1074	84	17	71692.000
1075	84	18	71692.000
1076	84	17	71696.000
1077	134	1	71714.000
1078	135	1	71716.000
1079	134	2	71719.000
1080	136	1	71724.000
1081	134	3	71724.000
1082	135	1	71726.000
1083	135	3	71733.000
1084	105	4	71740.000
1085	105	13	71741.000
1086	137	1	71750.000
1087	138	1	71751.000
1088	95	8	71762.000
1089	136	1	71763.000
1090	16	5	71772.000
1091	16	15	71772.000
1092	139	1	71774.000
1093	16	4	71775.000
1094	136	3	71776.000
1095	93	4	71785.000
1096	93	13	71786.000
1097	139	4	71790.000
1098	139	17	71791.000
1099	129	10	71793.000
1100	71	7	71797.000
1101	71	19	71798.000
1102	104	8	71809.000
1103	104	3	71811.000
1104	129	3	71811.000
1105	124	4	71817.000
1106	137	7	71818.000
1107	138	1	71818.000
1108	133	3	71826.000
1109	129	7	71826.000
1110	138	1	71827.000
1111	129	13	71827.000
1112	116	15	71839.000
1113	139	8	71841.000
1114	139	17	71845.000
1115	140	1	71850.000
1116	139	3	71857.000
1117	139	8	71875.000
1118	139	1	71881.000
1119	140	1	71891.000
1120	140	3	71898.000
1121	141	1	71906.000
1122	129	14	71913.000
1123	123	2	71918.000
1124	129	14	71919.000
1125	139	10	71921.000
1126	139	4	71927.000
1127	139	3	71928.000
1128	141	3	71929.000
1129	123	3	71929.000
1130	71	14	71932.000
1131	142	1	71935.000
1132	142	2	71944.000
1133	143	1	71949.000
1134	71	14	71957.000
1135	129	14	71961.000
1136	71	9	71966.000
1137	129	14	71967.000
1138	75	7	71970.000
1139	143	1	71981.000
1140	138	10	71982.000
1141	129	7	71988.000
1142	141	7	71989.000
1143	141	13	71989.000
1144	142	3	71998.000
1145	141	9	72002.000
1146	142	7	72013.000
1147	142	13	72013.000
1148	125	4	72013.000
1149	141	9	72031.000
1150	141	17	72039.000
1151	144	1	72047.000
1152	129	9	72051.000
1153	145	1	72060.000
1154	144	10	72061.000
1155	146	1	72064.000
1156	89	6	72064.000
1157	1	12	72064.000
1158	89	16	72065.000
1159	129	9	72070.000
1160	146	2	72071.000
1161	146	1	72076.000
1162	123	7	72092.000
1163	145	10	72092.000
1164	146	10	72098.000
1165	145	1	72099.000
1166	147	1	72102.000
1167	123	9	72106.000
1168	143	10	72107.000
1169	145	3	72110.000
1170	147	1	72115.000
1171	123	9	72115.000
1172	146	1	72116.000
1173	123	9	72120.000
1174	146	1	72121.000
1175	145	13	72121.000
1176	147	3	72125.000
1177	148	1	72136.000
1178	146	10	72144.000
1179	149	1	72145.000
1180	148	3	72153.000
1181	148	2	72158.000
1182	150	1	72161.000
1183	146	1	72161.000
1184	150	3	72167.000
1185	151	1	72167.000
1186	129	7	72167.000
1187	150	3	72168.000
1188	148	2	72171.000
1189	151	2	72172.000
1190	151	1	72175.000
1191	148	3	72176.000
1192	152	1	72186.000
1193	149	10	72193.000
1194	151	1	72198.000
1195	149	1	72201.000
1196	149	2	72217.000
1197	149	3	72222.000
1198	149	7	72228.000
1199	107	16	72231.000
1200	146	3	72233.000
1201	151	3	72237.000
1202	121	9	72240.000
1203	121	13	72241.000
1204	93	5	72244.000
1205	93	15	72248.000
1206	130	4	72250.000
1207	130	13	72250.000
1208	123	3	72265.000
1209	92	17	72266.000
1210	92	18	72267.000
1211	75	14	72280.000
1212	130	4	72285.000
1213	130	15	72286.000
1214	153	1	72302.000
1215	154	1	72304.000
1216	12	8	72308.000
1217	152	10	72311.000
1218	12	3	72312.000
1219	75	14	72312.000
1220	121	7	72316.000
1221	75	14	72316.000
1222	153	3	72317.000
1223	154	2	72317.000
1224	75	14	72324.000
1225	121	3	72333.000
1226	75	14	72340.000
1227	154	10	72346.000
1228	141	6	72350.000
1229	141	19	72350.000
1230	131	13	72353.000
1231	75	14	72353.000
1232	155	1	72354.000
1233	124	5	72356.000
1234	131	8	72360.000
1235	155	3	72361.000
1236	75	9	72369.000
1237	155	4	72370.000
1238	156	1	72376.000
1239	157	1	72383.000
1240	158	1	72394.000
1241	157	2	72395.000
1242	143	3	72399.000
1243	157	2	72411.000
1244	157	7	72419.000
1245	138	10	72429.000
